Date Reported,DR Number,Date Occurred,Time Occurred,Area,Area Name,RD,Crime Code,Crime Code Description,Status,Status Description,Location,Cross Street,Lat and Long
2/27/2016 12:00,161307218,2/27/2016 12:00,325,13,Newton,1317,110,CRIMINAL HOMICIDE,IC,Invest Cont,LONG BEACH                   AV,14TH                         ST,"(34.026, -118.2412)"
10/30/2016 12:00,161322055,10/29/2016 12:00,1730,13,Newton,1361,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",IC,Invest Cont,208 W  48TH                         ST,,"(33.9992, -118.2762)"
3/7/2016 12:00,160506840,3/7/2016 12:00,1,5,Harbor,551,510,VEHICLE - STOLEN,IC,Invest Cont,706    BYNNER                       DR,,"(33.7379, -118.3147)"
7/10/2016 12:00,160316670,7/10/2016 12:00,640,3,Southwest,362,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),IC,Invest Cont,3950    NICOLET                      AV,,"(34.0163, -118.3507)"
4/19/2016 12:00,162009354,4/18/2016 12:00,2100,20,Olympic,2001,510,VEHICLE - STOLEN,IC,Invest Cont,RALEIGH,VAN NESS,"(34.0826, -118.3157)"
11/12/2016 12:00,160325198,11/12/2016 12:00,1445,3,Southwest,321,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",AA,Adult Arrest,3535 S  LA CIENEGA                   BL,,"(34.0242, -118.3722)"
6/26/2016 12:00,162112299,6/26/2016 12:00,200,21,Topanga,2136,626,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,AO,Adult Other,21838    SATICOY                      ST,,"(34.2083, -118.6029)"
12/5/2016 12:00,161522629,12/2/2016 12:00,1800,15,N Hollywood,1555,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,IC,Invest Cont,11218    CAMARILLO                    ST,,"(34.1577, -118.3751)"
10/18/2016 12:00,160219014,10/15/2016 12:00,1200,2,Rampart,289,354,THEFT OF IDENTITY,IC,Invest Cont,1537 W  12TH                         ST,,"(34.0454, -118.2742)"
7/19/2016 12:00,160317310,7/19/2016 12:00,1530,3,Southwest,321,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),JA,Juv Arrest,3535 S  LA CIENEGA                   BL,,"(34.0242, -118.3722)"
